slug,name,price,city_id
martel-vs-fine-cognac-700ml,Martel Vs Fine Cognac,5600,31
dewars-white-label-750ml,Dewars White Label,1450,31
fratelli-shiraz-rose-750ml,Fratelli Shiraz Rose,795,31
hibiki-harmony-blended-japanese-whiskey-700ml,Hibiki Harmony Blended Japanese Whiskey,16555,31
bacardi-white-rum-180ml,Bacardi White Rum,170,31
antiquity-blue-750ml,Antiquity Blue,715,31
smirnoff-orange-flavour-180ml,Smirnoff Orange Flavour,170,31
iwai-mars-750ml,Iwai Mars,5199,31
samsara-pink-gin-750ml,Samsara Pink Gin,1950,31
luxardo-sambuca-dei-cesari-1000ml,Luxardo Sambuca Dei Cesari,1800,31
bush-ballad-chardonnay-white-wine-750ml,Bush Ballad Chardonnay White Wine,1590,31
old-monk-180ml-180ml,Old Monk 180Ml,50,31
1664-blanc-330ml,1664 Blanc,160,31
tilt-red-can-250ml,Tilt Red Can,150,31
bira-white-pint-330ml,Bira White Pint,95,31
magic-moment-ginger-limon-180ml,Magic Moment Ginger Limon,95,31
outback-jack-shiraz-750ml,Outback Jack Shiraz,1390,31
cointreau-700ml,Cointreau,4675,31
gordons-750ml,Gordons,1300,31
absolut-vodka-1000ml,Absolut Vodka,141,31
carlsberg-elephant-strong-can-500ml,Carlsberg Elephant Strong Can,115,31
cinzano-prosecco-750ml,Cinzano Prosecco,1926,31
sula-brut-750ml,Sula Brut,1395,31
henkell-trocken-sparkling-wine-750ml,Henkell Trocken Sparkling Wine,1990,31
hendricks-gin-700ml,Hendricks Gin,3780,31
campari-750ml,Campari,2411,31
goru-el-blanco-750ml,Goru El Blanco,4390,31
grover-riesling-white-750ml,Grover Riesling White,935,31
johnnie-walker-gold-reserve-750ml,Johnnie Walker Gold Reserve,5300,31
belvedere-vodka-700ml,Belvedere Vodka,3598,31
the-glenlivet-single-malt18yrs-700ml,The Glenlivet Single Malt18Yrs,13500,31
don-julio-reposado-750ml,Don Julio Reposado,8000,31
jim-beam-black-straight-bourbon-whiskey-750ml,Jim Beam Black Straight Bourbon Whiskey,4170,31
mcdowell-celebration-rum-180ml,Mcdowell Celebration Rum,53,31
black-tower-pinot-noir-750ml,Black Tower Pinot Noir,1690,31
brewdog-punk-ipa-330ml,Brewdog Punk Ipa,240,31
sula-satori-red-375ml,Sula Satori Red,760,31
old-monk-xxx-750ml,Old Monk XXX,220,31
iwai-tradition-mars-750ml,Iwai Tradition Mars,7985,31
bira-blonde-330ml,Bira Blonde,70,31
budweiser-light-can-500ml,Budweiser Light Can,100,31
bush-tropical-citrus-rum-700ml,Bush Tropical Citrus Rum,4850,31
glenlivet-founder-750ml,Glenlivet Founder,5300,31
oaksmith-gold-whisky-750ml,Oaksmith Gold Whisky,690,31
ballantines-15yrs-single-malt-scotch-whiksy-700ml,Ballantines 15Yrs Single Malt Scotch Whiksy,7000,31
camikara-rum-cask-3-yrs-aged-750ml,Camikara Rum Cask 3 Yrs Aged,1800,31
the-macallan-18yrs-double-cask-750ml,The Macallan 18Yrs Double Cask,79000,31
bg-cotes-du-rhone-750ml,B&G Cotes Du Rhone,2198,31
ballantine-finest-blended-scotch-whisky-200ml,Ballantine Finest Blended Scotch Whisky,480,31
ballantine-aged-12-yrs-blended-scotch-whisky-750ml,Ballantine Aged 12 Yrs Blended Scotch Whisky,3200,31
longitude-77-indian-single-malt-750ml,Longitude 77 Indian Single Malt,4500,31
carlsberg-light-330ml,Carlsberg Light,65,31
dewars-18-yrs-750ml,Dewars 18 Yrs,7500,31
aperol-750ml,Aperol,1937,31
nederburg-winemaster-res-sauvignon-blanc-750ml,Nederburg Winemaster Res Sauvignon Blanc,2690,31
old-smuggler-scotch-750ml,Old Smuggler Scotch,1350,31
moskovskaya-voda-700ml,Moskovskaya Voda,1890,31
jameson-irish-whiskey-750ml,Jameson Irish Whiskey,2375,31
jack-daniels-tennessee-honey-750ml,Jack Daniels Tennessee Honey,3200,31
golfer-shot-18-hole-750ml,Golfer Shot 18 Hole,680,31
ballantine-aged-17-yrs-blended-scotch-whisky-750ml,Ballantine Aged 17 Yrs Blended Scotch Whisky,8500,31
fratelli-sauvignon-blanc-750ml,Fratelli Sauvignon Blanc,795,31
royal-green-whisky-750ml,Royal Green Whisky,370,31
grover-art-collection-shiraz-750ml,Grover Art Collection Shiraz,820,31
absolut-raspberri-750ml,Absolut Raspberri,2375,31
oaken-glow-180ml,Oaken Glow,125,31
glenfiddich-15-years-700ml,Glenfiddich 15 Years,8200,31
magic-moment-ginger-limon-750ml,Magic Moment Ginger Limon,380,31
ardbeg-wee-beastie-5-yrs-700ml,Ardbeg Wee Beastie 5 Yrs,7483,31
mirabeau-dry-gin-700ml,Mirabeau Dry Gin,11200,31
veuve-clicquot-750ml,Veuve Clicquot,9571,31
mateus-sparkling-brut-rose-750ml,Mateus Sparkling Brut Rose,545,31
flor-de-cana-700ml,Flor De Cana,5400,31
amrut-fusion-single-malt-750ml,Amrut Fusion Single Malt,3050,31
bacardi-white-rum-750ml,Bacardi White Rum,700,31
malfy-lemon-gin-750ml,Malfy Lemon Gin,3230,31
clase-azul-plata-700ml,Clase Azul Plata,26420,31
grover-chene-grand-reserv-chardonnay-750ml,Grover Chene Grand Reserv Chardonnay,2200,31
teachers-highland-cream-180ml,Teachers Highland Cream,355,31
mount-gay-eclipse-barados-rum-700ml,Mount Gay Eclipse Barados Rum,3450,31
moet-chandon-rose-imperial-750ml,Moet & Chandon Rose Imperial,10830,31
patron-reposado-200ml,Patron Reposado,2800,31
noi-sparkling-rose-750ml,Noi Sparkling Rose,980,31
baileys-salted-caramel-liqueur-750ml,Baileys Salted Caramel Liqueur,2920,31
diplomatico-planas-700ml,Diplomatico Planas,4850,31
glenkinchie-12-yrs-750ml,Glenkinchie 12 Yrs,6600,31
jacobs-creek-chardonnay-pinot-noir-750ml,Jacobs Creek Chardonnay Pinot Noir,1850,31
jameson-stout-edition-caskmate-750ml,Jameson Stout Edition Caskmate,2840,31
grover-one-tree-hill-white-750ml,Grover One Tree Hill White,510,31
le-grand-chardonnay-750ml,Le Grand Chardonnay,2150,31
grover-la-reserve-fume-blanc-750ml,Grover La Reserve Fume Blanc,1125,31
antiquity-blue-180ml,Antiquity Blue,170,31
royal-ranthambore-750ml,Royal Ranthambore,1400,31
jim-beam-orange-750ml,Jim Beam Orange,3200,31
bushmill-21yrs-single-malt-700ml,Bushmill 21Yrs Single Malt,49999,31
the-ardmore-highland-single-malt-700ml,The Ardmore Highland Single Malt,3835,31
antiquity-blue-375ml,Antiquity Blue,330,31
bg-cabernet-sauvignon-750ml,B&G Cabernet Sauvignon,1790,31
fratelli-classic-merlot-750ml,Fratelli Classic Merlot,740,31
martell-v-s-o-p-red-barrel-700ml,Martell V.S.O.P. Red Barrel,11000,31
cocalero-classico-700ml,Cocalero Classico,4195,31
five-reserve-pinotage-750ml,Five Reserve Pinotage,1498,31
martini-asti-750ml,Martini Asti,2200,31
jack-daniels-old-no-7-200ml,Jack Daniels Old No 7,853,31
moet-chandon-ice-imperial-750ml,Moet & Chandon Ice Imperial,9606,31
glenmorangie-x-750ml,Glenmorangie X,4495,31
le-grand-noir-cabernet-sauvignon-750ml,Le Grand Noir Cabernet Sauvignon,1600,31
chivas-regal-12-yr-750ml,Chivas Regal 12 Yr,3320,31
balvenie-21-yrs-700ml,Balvenie 21 Yrs,54000,31
tenjaku-whisky-700ml,Tenjaku Whisky,2800,31
ruffino-chianti-750ml,Ruffino Chianti,2950,31
omar-single-malt-bourbon-700ml,Omar Single Malt Bourbon,10000,31
sula-brut-tropical-750ml,Sula Brut Tropical,1495,31
bro-code-light-beer-330ml,Bro Code Light Beer,120,31
grover-la-reserva-white-750ml,Grover La Reserva White,1125,31
